"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","count_about_this_template","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_instructions","count_keyboard_response","count_logger","count_new_advanced_delay","count_new_inline_script","count_new_sampler","count_new_sequence","count_new_sketchpad","count_new_sound_start_recording","count_new_sound_stop_recording","count_practice_loop","count_reset_feedback","count_sketchpad","count_trial_sequence","datetime","delay_new_advanced_delay","description","disable_garbage_collection","exp_category","exp_category_0","exp_category_1","exp_category_10","exp_category_11","exp_category_12","exp_category_13","exp_category_14","exp_category_2","exp_category_3","exp_category_4","exp_category_5","exp_category_6","exp_category_7","exp_category_8","exp_category_9","exp_recording","exp_recording_0","exp_recording_1","exp_recording_10","exp_recording_11","exp_recording_12","exp_recording_13","exp_recording_14","exp_recording_2","exp_recording_3","exp_recording_4","exp_recording_5","exp_recording_6","exp_recording_7","exp_recording_8","exp_recording_9","exp_wav_file","exp_wav_file_0","exp_wav_file_1","exp_wav_file_10","exp_wav_file_11","exp_wav_file_12","exp_wav_file_13","exp_wav_file_14","exp_wav_file_2","exp_wav_file_3","exp_wav_file_4","exp_wav_file_5","exp_wav_file_6","exp_wav_file_7","exp_wav_file_8","exp_wav_file_9","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_experiment","response_end_of_practice","response_feedback","response_instructions","response_keyboard_response","response_time","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_path","subject_nr","subject_parity","time_about_this_template","time_block_loop","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_instructions","time_keyboard_response","time_logger","time_new_advanced_delay","time_new_inline_script","time_new_sampler","time_new_sequence","time_new_sketchpad","time_new_sound_start_recording","time_new_sound_stop_recording","time_practice_loop","time_reset_feedback","time_sketchpad","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","4000.01889997","4000.01889997","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","0","0","0","0","0","0","0","0","0","NA","NA","0","0","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_0]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_0]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_0]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","0","0","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","None","NA","NA","NA","space","None","4000.01889997","NA","NA","NA","849.694300035","4000.01889997","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","3010.18440002","7010.39050001","NA","1711.9546","3007.43449997","NA","NA","NA","NA","NA","NA","3010.11500001","3007.23699998","Word Spotting","0","4000.01889997","1","yes","1024"
"undefined","undefined","2877.84345","2877.84345","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","1","1","1","0","1","1","1","1","1","NA","NA","1","1","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_1]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_1]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_1]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","1","1","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","space","NA","NA","NA","space","space","1755.66800003","NA","NA","NA","849.694300035","1755.66800003","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","7077.99249998","13868.5666","8837.08909998","1711.9546","7075.48330002","8834.2705","8836.63879998","8836.67049999","13837.4283","NA","NA","7077.9344","7075.39810002","Word Spotting","0","5755.6869","2","yes","1024"
"undefined","undefined","2495.13303333","2495.13303333","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","2","2","2","0","2","2","2","2","2","NA","NA","2","2","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_2]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_2]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_2]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","2","2","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","space","NA","NA","NA","space","space","1729.7122","NA","NA","NA","849.694300035","1729.7122","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","13935.9229","20708.9493","15669.4866","1711.9546","13933.4764","15666.6687","15669.1061","15669.1425","20669.4327","NA","NA","13935.8585","13933.4023","Word Spotting","0","7485.3991","3","yes","1024"
"undefined","undefined","2871.356","2871.356","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","3","3","3","0","3","3","3","3","3","NA","NA","3","3","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_3]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_3]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_3]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","3","3","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","None","NA","NA","NA","space","None","4000.02490001","NA","NA","NA","849.694300035","4000.02490001","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","20774.8073","24775.0357","15669.4866","1711.9546","20772.3221","15666.6687","15669.1061","15669.1425","20669.4327","NA","NA","20774.7503","20772.1999","Word Spotting","0","11485.424","4","yes","1024"
"undefined","undefined","3097.08998001","3097.08998001","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","4","4","4","0","4","4","4","4","4","NA","NA","4","4","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_4]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_4]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_4]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","4","4","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","None","NA","NA","NA","space","None","4000.02590002","NA","NA","NA","849.694300035","4000.02590002","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","24837.4785","28837.6991","15669.4866","1711.9546","24834.7559","15666.6687","15669.1061","15669.1425","20669.4327","NA","NA","24837.418","24834.6709","Word Spotting","0","15485.4499","5","yes","1024"
"undefined","undefined","2842.69085001","2842.69085001","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","5","5","5","0","5","5","5","5","5","NA","NA","5","5","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_5]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_5]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_5]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","5","5","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","space","NA","NA","NA","space","space","1570.6952","NA","NA","NA","849.694300035","1570.6952","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","28902.9785","35506.4377","30477.4695","1711.9546","28900.5326","30475.0317","30477.1194","30477.1521","35476.9491","NA","NA","28902.9165","28900.4598","Word Spotting","0","17056.1451","6","yes","1024"
"undefined","undefined","3008.02331429","3008.02331429","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","6","6","6","0","6","6","6","6","6","NA","NA","6","6","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_6]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_6]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_6]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","6","6","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","None","NA","NA","NA","space","None","4000.01810002","NA","NA","NA","849.694300035","4000.01810002","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","35571.5121","39571.7426","30477.4695","1711.9546","35568.7829","30475.0317","30477.1194","30477.1521","35476.9491","NA","NA","35571.4515","35568.7113","Word Spotting","0","21056.1632001","7","yes","1024"
"undefined","undefined","2914.31747501","2914.31747501","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","7","7","7","0","7","7","7","7","7","NA","NA","7","7","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_7]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_7]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_7]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","7","7","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","space","NA","NA","NA","space","space","2258.37659999","NA","NA","NA","849.694300035","2258.37659999","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","39631.2946","46933.1412","41893.8596","1711.9546","39628.7074","41890.9959","41893.4218","41893.4597","46894.1314","NA","NA","39631.2318","39628.6378","Word Spotting","0","23314.5398","8","yes","1024"
"undefined","undefined","2743.56828889","2743.56828889","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","8","8","8","0","8","8","8","8","8","NA","NA","8","8","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_8]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_8]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_8]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","8","8","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","space","NA","NA","NA","space","space","1377.57479999","NA","NA","NA","849.694300035","1377.57479999","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","47000.192","53418.1511","48380.9833","1711.9546","46997.4765","48378.439","48380.5066","48380.5755","53381.0429","NA","NA","47000.1101","46997.4071","Word Spotting","0","24692.1146","9","yes","1024"
"undefined","undefined","2869.21316001","2869.21316001","black","yes","psycho","psycho","psycho","0","uniform","undefined","undefined","undefined","0","0","0","0","NA","0","0","NA","0","9","9","9","0","9","9","9","9","9","NA","NA","9","9","03/23/20 17:12:19","5000","A template containing a practice and an experimental phase","yes","[exp_category_9]","nonword","word","nonword","word","word","nonword","nonword","nonword","nonword","nonword","word","nonword","nonword","word","nonword","[exp_recording_9]","ihmstraashaxnz","ihmpchaxmuwnseyshaxl","baxmaayhaxbeyshaxl","ihnbayraxnlihngks","aamaxflowshaxl","kowihnsaxbehrslaxn","dihkaxnstehchihks","kaengaxwaxrzniyz","mehshpiyfaxsihntliy","aedaxlihzihks","wihndaxmehntaxshaefts","saxdvihfihzaxns","stihmayshaxnaaniy","sihslaestihdliy","hhaykwowkeyzmaxnz","[exp_wav_file_9]","ihmstraashaxnz.wav","ihmpchaxmuwnseyshaxl.wav","baxmaayhaxbeyshaxl.wav","ihnbayraxnlihngks.wav","aamaxflowshaxl.wav","kowihnsaxbehrslaxn.wav","dihkaxnstehchihks.wav","kaengaxwaxrzniyz.wav","mehshpiyfaxsihntliy.wav","aedaxlihzihks.wav","wihndaxmehntaxshaefts.wav","saxdvihfihzaxns.wav","stihmayshaxnaaniy.wav","sihslaestihdliy.wav","hhaykwowkeyzmaxnz.wav","wordspotting_study_finished.osexp","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed","no","mono","no","32","no","white","no","yes","768","psycho","9","9","0","C:/Users/user/Documents/TU_Dortmund/Labor/Tutorials/Word_Spotting_Tutorial/completed/subject-999.csv","psycho","Kafkaesque Koffka","3.2.8","no","0","None","NA","NA","NA","space","None","4000.01700001","NA","NA","NA","849.694300035","4000.01700001","2","legacy","1024","2","48000","-16","experiment","C:\Users\user\Documents\TU_Dortmund\Labor\Tutorials\Word_Spotting_Tutorial\\subject_999","999","odd","NA","2603.84420003","2603.71","NA","NA","1710.37580003","2603.16439997","NA","1751.93999999","53483.9989","57484.2458","48380.9833","1711.9546","53481.622","48378.439","48380.5066","48380.5755","53381.0429","NA","NA","53483.9193","53481.5363","Word Spotting","0","28692.1316001","10","yes","1024"
