number,area,detail
1,Spracherwerb,Zweit-
2,Spracherwerb,Fremd-
3,Spracherwerb,Erst-
4,Spracherwerb,Mehrsprachigkeits
1,Psycholinguistik,Mechanismen des Sprachtransfers
2,Psycholinguistik,Lernergerichtete Sprache
3,Psycholinguistik,Individuelle Unterschiede in den sprachlichen und kognitiven Faehigkeiten
4,Psycholinguistik,Phono-lexikalische Schnittstelle
1,Methodologie,Eyetracking
2,Methodologie,Akustische Analysen von Korpora
3,Methodologie,Veraenderungen im Zeitablauf (time-course)
1,Open Science Principles,Gross angelegte Kooperationen (Many Babies)
2,Open Science Principles,Zugaenglichkeit und Diversitaet
3,Open Science Principles,Offene und reproduzierbare Methoden
