number,area,detail
1,Developmental Psychology,Language acquisition
2,Developmental Psychology,Individual differences
3,Developmental Psychology,Cognitive development
4,Developmental Psychology,Diversity
1,Open Science Principles,Meta-analyses
2,Open Science Principles,Reproducible code
3,Open Science Principles,Open data
4,Open Science Principles,Big Team Science (Many Babies)
1,Methodology,Event-Related Potentials (ERPs)
2,Methodology,Eyetracking (gaze)
3,Methodology,Time-course analyses
4,Methodology,Longitudinal studies
