number,area,detail
1,Phonology,Phonotactics
2,Phonology,Consonant-vowel asymmetry
3,Phonology,Cross-linguistic similarity
1,Lexical Processing,Phono-lexical interface
2,Lexical Processing,Word recognition
3,Lexical Processing,Word segmentation
1,Language acquisition,Second-language
2,Language acquisition,Foreign-language
3,Language acquisition,Bilingual
4,Language acquisition,First-language
1,Methodology,Event-Related Potentials (ERPs)
2,Methodology,Eyetracking (gaze)
3,Methodology,Time-course analyses
4,Methodology,Longitudinal studies
1,Open Scholarship,Large-scale collaborations (Many Babies)
2,Open Scholarship,Accessibility and diversity
3,Open Scholarship,Open and reproducible approaches
