number,area,detail
1,Language acquisition,Second-language
2,Language acquisition,Foreign-language
3,Language acquisition,Bilingual
4,Language acquisition,First-language
1,Psycholinguistics,Mechanisms underlying linguistic transfer
2,Psycholinguistics,Individual differences in linguistic and cognitive skills
3,Psycholinguistics,Phono-lexical interface
1,Methodology,Event-Related Potentials (ERPs)
2,Methodology,Eyetracking (gaze)
3,Methodology,Time-course
4,Methodology,Longitudinal studies
1,Open Science Principles,Large-scale collaborations (Many Babies)
2,Open Science Principles,Accessibility and diversity
3,Open Science Principles,Open and reproducible approaches
4,Open Science Principles,
